,buy1,last,ma10min,ma5min,sell1
0,312.01,312.01,310.30499999999995,310.81,312.13
1,312,312.0,310.30499999999995,310.81,312.13
2,312.1,313.3,310.30499999999995,310.81,313.3
3,312.02,312.02,310.30499999999995,310.81,313.28
4,311.92,312.0,310.30499999999995,310.81,311.98
5,311.21,311.5,310.30499999999995,310.81,311.51
6,311.21,311.21,310.415,311.246,311.41
7,311.2,311.2,310.415,311.246,311.34
8,311.2,311.2,310.415,311.246,311.39
9,310.5,310.5,310.415,311.246,311.98
10,310.2,310.5,310.415,311.246,310.98
11,310.2,310.98,310.415,311.246,310.98
12,310.22,310.88,310.415,311.246,310.87
13,310.22,310.85,310.415,311.246,310.87
14,310.23,310.87,310.415,311.246,310.82
15,310.21,310.23,310.415,311.246,311.19
16,310.27,311.19,310.415,311.246,311.21
17,310.2,311.25,310.415,311.246,311.8
18,310.21,311.75,310.415,311.246,311.69
19,310.21,311.68,310.415,311.246,311.68
20,310.21,311.68,310.415,311.246,311.58
21,310.21,311.58,310.621,311.412,311.58
22,310.1,311.58,310.621,311.412,311.58
23,310.13,311.58,310.621,311.412,311.58
24,311.56,311.77,310.621,311.412,311.73
25,310.1,310.1,310.621,311.412,311.8
26,310.3,310.28,310.621,311.412,311.4
27,310.2,310.41,310.621,311.412,311.71
28,310.25,310.25,310.621,311.412,311.73
29,310.4,311.61,310.621,311.412,311.73
30,310.42,311.28,310.621,311.412,311.28
31,310.42,311.28,310.621,311.412,311.28
32,310.02,311.28,310.621,311.412,310.43
33,310.45,310.45,310.621,311.412,311.28
34,310.45,311.27,310.621,311.412,311.27
35,310,310.0,310.621,311.412,310.37
36,310,310.28,310.621,311.412,310.4
37,310,310.33,310.741,311.444,310.42
38,310.05,311.2,310.741,311.444,311.28
39,310.42,311.3,310.741,311.444,311.3
40,310.42,311.3,310.741,311.444,311
41,310.52,311.0,310.741,311.444,311
42,310.5,311.3,310.741,311.444,311.28
43,310.51,310.51,310.741,311.444,311.22
44,310.5,310.5,310.741,311.444,311.06
45,310.52,311.27,310.741,311.444,311.27
46,310.52,310.5,310.741,311.444,310.92
47,310.5,310.4,310.741,311.444,310.98
48,310.12,310.12,310.741,311.444,310.98
49,310.12,310.98,310.741,311.444,310.98
